Crossing ID,City,State,Street,County,Railroad,Date/Time,Duration,Reason,Immediate Impacts,Additional Comments,hour,day_of_week,month,is_weekend,Duration_Clean,target_class,target_minutes,crossing_frequency,railroad_frequency
023207W,HOUSTON,TX,ALAMEDA/GENOA RD,HARRIS,BNSF,2026-07-13 19:05:00,31-60 minutes,A moving train,,"An extremely long slow moving train, proceeded in a south direction on the tracks instead of giving the traffic and opportunity to move another train going in a northbound direction immediately block the tracks again.",19,0,7,0,31-60 minutes,31-60 minutes,45.5,5,46
023207W,HOUSTON,TX,ALAMEDA/GENOA RD,HARRIS,BNSF,2026-02-24 16:19:00,31-60 minutes,A stationary train,,,16,1,2,0,31-60 minutes,31-60 minutes,45.5,5,46
023207W,HOUSTON,TX,ALAMEDA/GENOA RD,HARRIS,BNSF,2026-02-24 15:49:00,16-30 minutes,A stationary train,,,15,1,2,0,16-30 minutes,16-30 minutes,23.0,5,46
023207W,HOUSTON,TX,ALAMEDA/GENOA RD,HARRIS,BNSF,2026-02-24 15:40:00,16-30 minutes,A stationary train,First responders were observed being unable to cross the tracks,,15,1,2,0,16-30 minutes,16-30 minutes,23.0,5,46
023207W,HOUSTON,TX,ALAMEDA/GENOA RD,HARRIS,BNSF,2026-02-24 15:34:00,16-30 minutes,A stationary train,,,15,1,2,0,16-30 minutes,16-30 minutes,23.0,5,46
023211L,HOUSTON,TX,BELLFORT avenue,HARRIS,BNSF,2026-06-08 17:10:00,1-2 hours,A stationary train,,,17,0,6,0,1-2 hours,1-2 hours,90.0,3,46
023211L,HOUSTON,TX,BELLFORT avenue,HARRIS,BNSF,2026-04-10 19:14:00,31-60 minutes,A stationary train,,Gridlock ,19,4,4,0,31-60 minutes,31-60 minutes,45.5,3,46
023211L,HOUSTON,TX,WB BELLFORT RD,HARRIS,BNSF,2026-02-06 18:15:00,1-2 hours,A stationary train,,Major traffic congestion,18,4,2,0,1-2 hours,1-2 hours,90.0,3,46
023214G,HOUSTON,TX,LONG DR,HARRIS,BNSF,2026-05-19 09:33:00,1-2 hours,A stationary train,"Pedestrians were observed climbing on, over, or through the train cars",This train went forward and backward across this section for an hour - unacceptable blockage of traffic in the middle of Houston during rush hour,9,1,5,0,1-2 hours,1-2 hours,90.0,3,46
023214G,HOUSTON,TX,LONG DR,HARRIS,BNSF,2025-12-20 10:07:00,31-60 minutes,A stationary train,"First responders were observed being unable to cross the tracks, Pedestrians were observed climbing on, over, or through the train cars",,10,5,12,1,31-60 minutes,31-60 minutes,45.5,3,46
023214G,HOUSTON,TX,LONG DR,HARRIS,BNSF,2025-10-05 19:41:00,31-60 minutes,A stationary train,,Once again a train blocking the road just stopped. It's ridiculous ,19,6,10,1,31-60 minutes,31-60 minutes,45.5,3,46
023215N,HOUSTON,TX,GRIGGS RD,HARRIS,UP,2026-05-26 21:46:00,31-60 minutes,A stationary train,,,21,1,5,0,31-60 minutes,31-60 minutes,45.5,4,5265
023215N,HOUSTON,TX,GRIGGS RD,HARRIS,UP,2026-05-20 10:25:00,1-2 hours,A stationary train,,"Disruptive to my work. I’m late now and I’m basically getting a write up because this work is so damn strict. It’s 2026, learn to work at a safe and effective way. If you need more workers hire more. Acting like it’s everyone’s first time. ",10,2,5,0,1-2 hours,1-2 hours,90.0,4,5265
023215N,HOUSTON,TX,GRIGGS RD,HARRIS,UP,2026-01-03 21:37:00,16-30 minutes,A stationary train,,Traffic congestion ,21,5,1,1,16-30 minutes,16-30 minutes,23.0,4,5265
023215N,HOUSTON,TX,GRIGGS RD,HARRIS,UP,2025-10-14 19:50:00,31-60 minutes,A stationary train,,Move the dumb train it happens all the time ,19,1,10,0,31-60 minutes,31-60 minutes,45.5,4,5265
023219R,HOUSTON,TX,MYKAWA RD,HARRIS,BNSF,2026-04-25 16:06:00,31-60 minutes,A stationary train,,,16,5,4,1,31-60 minutes,31-60 minutes,45.5,2,46
023219R,HOUSTON,TX,MYKAWA RD,HARRIS,BNSF,2025-09-20 21:43:00,16-30 minutes,A stationary train,,,21,5,9,1,16-30 minutes,16-30 minutes,23.0,2,46
023228P,HOUSTON,TX,AIRPORT BOULEVARD,HARRIS,BNSF,2026-05-21 07:53:00,31-60 minutes,A stationary train,First responders were observed being unable to cross the tracks,Can’t get to Hobby Airport,7,3,5,0,31-60 minutes,31-60 minutes,45.5,8,46
